Hindi,English
कार ,car
बकवास ,Nonsense
पीछे ,Back
द्वारा ,By
मुझसे ,Me
हाथ ,Hand
विश्वास ,Belief
पूरी ,Complete
ना ,No
महिला ,Woman
लड़की ,Girl
आपका ,Yours
देखने ,View
तुमसे ,To you
लगा ,Put
उसका ,His
चल ,Ambulatory
ओर ,Side
मिनट ,minutes
समझ ,Understanding
बिना ,Without
बता ,Tell
तीन ,Three
सुनो ,Listen
पैसे ,Pennies
होगी ,Will be
दोनों ,Both
कहना ,Tell
पुलिस ,Police
देना ,Give
पुरुष ,Male
कहीं ,somewhere
बना ,Made up
परिवार ,Family
खो ,Lose
दिल ,Heart
हां ,Yes
लेने ,Take
बेटा ,Son
सोचा ,Think
आगे ,Ahead
जहां ,Where
पागल ,Mad
सुना ,heard
जाते ,Go
चले ,Let's go
बोल ,Lyrics
गलत ,Wrong
ज्यादा ,More
महसूस ,Feel
चाहती ,Want
सकती ,Can
यकीन ,faith
इसलिए ,Therefore
पी ,P
डर ,Fear
आता ,Comes
आपकी ,Yours
लड़का ,Boy
उह ,Uh
समस्या ,Problem
बुरा ,bad
सुंदर ,Beautiful
छोटे ,Small
बताया ,told
खत्म ,End
आने ,Arrival
माफ ,Forgive
कमबख्त ,Fucking
यार ,Buddy
बीच ,Middle
दूसरे ,Others
काफी ,Enough
भूल ,Mistake
ध्यान ,Attention
हुई ,Hui
तब ,Then
बेटी ,Daughter
रहने ,Stay
खेल ,Play
बड़ा ,Big
माफी ,Forgiveness
बच्चों ,Children
शहर ,City
आह ,Ahh
पूरा ,Complete
बदल ,change
देने ,Give
देखते ,Sight
देर ,Late
डाल ,Branch
बिल्कुल ,Absolutely
कई ,Many
वाह ,Wow
सोच ,Thinking
भुगतान ,Payment
जैक ,Jack
बेटे ,Son
मुझ ,Me
पानी ,Water
महोदय ,Sir
आग ,Fire
देता ,Given
आते ,Come
कहां ,Where
चिंता ,Worry
रखना ,Keep
उससे ,In
पहली ,First
बनाने ,Make
गोली ,Gun Shot
माध्यम ,Channel
कितना ,How much
सुरक्षित ,Safe
देखना ,Look
वहां ,There
इससे ,From this
इसका ,Its
मारा ,hit
पत्नी ,Wife
रहना ,Live
पार्टी ,Party
अन्य ,Other
अच्छे ,Good
हैलो ,Hello!
महान ,Great
आए ,Returns
क्षमा ,Forgiveness
पिछले ,last
मारने ,Kill
रहते ,Live
वादा ,Promise
राजा ,King
इंतजार ,Wait
उनकी ,His
सुबह ,Morning
सिर ,Head
नए ,New
विचार ,Idea
दोस्तों ,Friends
योजना ,Plan
प्राप्त ,Received
घंटे ,hours
खुश ,Happy
अंत ,Ending
करती ,Do
करेगा ,Will do
थोड़ा ,Little
सम्मान ,Respect
आदेश ,Order
पूरे ,Full
अलग ,Separate
उम्मीद ,Hope
आर ,R
पाने ,Get
औरत ,women
इतनी ,So much
लड़के ,Boys
गिर ,Gir
संगीत ,music
रास्ता ,Way
युद्ध ,Warning
रास्ते ,Gesture
हमारा ,Our
जारी ,Ongoing
मन ,Mind
लड़ाई ,War
डाला ,Pouring
शुक्रिया ,Thanks
मुश्किल ,DIfficulty
आराम ,Rest
चुका ,Repayed
प्रिय ,Dear
झूठ ,Lie
बंदूक ,gun
खुशी ,Happiness
नरक ,hell
आशा ,Hope
चुप ,Silent
उपयोग ,Use
सवाल ,Question
आपने ,You
वैसे ,By the way
देश ,Country
रखो ,Please Keep
असली ,Real
बड़ी ,Big
जैसा ,As
सुन ,Listen
हाय ,Hi
चोट ,Injury
रखा ,kept
मौत ,Death
पापा ,Father
पर्याप्त ,Sufficient
पुरुषों ,Men
शांत ,Calm
पुराने ,Old
हंसते ,Laughing
सा ,Like
दें ,Give
पकड़ ,grasp
बहन ,Sister
सामने ,Front
सुरक्षा ,Security
खाने ,Eating
खाना ,Eat
चाचा ,Uncle
बन ,become
अमेरिका ,America
परेशान ,Worried
बच्चा ,Child
सी ,C
जवाब ,answer
सेना ,Army
आसान ,Easy
पैसा ,Money
ऐसे ,This way
महीने ,Month
रखने ,Keep
छोटी ,Small
अलविदा ,Bye
कदम ,step
अगले ,Next
भाग ,Part
नमस्ते ,Greetings!
सारे ,all
लंबे ,Long
देते ,Giving
कॉल ,Call
छोटा ,Small
भाड़ ,Screw
बनाया ,Make
हमने ,We
स्थिति ,Situation
इस्तेमाल ,Use
परवाह ,Care
कैसा ,How?
होती ,Happiness
गलती ,Mistake
राम ,Ram
नष्ट ,Destroyed
स्वागत ,Welcome
अजीब ,Strange
रह ,Stay
व्यक्ति ,Person
मूर्ख ,Idiot
तुम्हे ,To you
सिकंदर ,Alexander
